cells_id	x	gene_ENSG00000232810	gene_ENSG00000109471	gene_ENSG00000111537	gene_ENSG00000178562	gene_ENSG00000109956	gene_ENSG00000181847	gene_ENSG00000135077	gene_ENSG00000089692	gene_ENSG00000188389	gene_ENSG00000163508	gene_ENSG00000163599	gene_ENSG00000138185	gene_ENSG00000198846	gene_ENSG00000122223
cell_684	11 years	0	0	0	0	0	0	0	1.598960794609847	0	0	0	0	1.598960794609847	0
cell_685	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_686	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_687	11 years	0	0	0	0	0	0	0	1.6547761428200194	0	0	0	0	1.6547761428200194	0
cell_688	11 years	0	0	2.653539480352951	0	0	0	0	0	0	0	0	0	1.6866597437659954	0
cell_689	11 years	2.1402867825542398	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_690	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_691	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_692	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_693	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_694	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_695	11 years	0	0	0	0	0	1.3321051131604833	0	0	0	0	0	0	0	0
cell_696	11 years	0	0	1.291386368958003	0	0	0	0	0	0	1.291386368958003	0	0	0	0
cell_697	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_698	11 years	0	0	0	1.9096063965242391	0	0	0	0	0	0	0	0	0	0
cell_699	11 years	2.6052977929162213	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_700	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_701	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_702	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_703	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_704	11 years	0	0	1.3649307493572975	0	0	0	0	0	0	0	0	0	0	0
cell_705	11 years	0	0	1.901325253343746	0	0	0	0	0	0	0	0	0	0	0
cell_706	11 years	0	0	0	0	0	0	0	2.1009095887198717	0	0	0	0	0	0
cell_707	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_708	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_709	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_710	11 years	2.084709332614695	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_711	11 years	0	0	0	0	0	1.381439076138279	0	0	0	0	0	0	0	0
cell_712	11 years	0	0	0	0	0	0	0	0	0	1.2493804369193349	0	0	0	0
cell_713	11 years	1.5687901077336825	0	1.5687901077336825	0	0	0	0	0	0	0	0	0	0	0
cell_714	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_715	11 years	0	0	0	0	0	0	0	2.1046963073311784	0	0	0	0	0	0
cell_716	11 years	0	0	0	0	0	0	0	0	0	1.1371105349731931	0	0	0	0
cell_717	11 years	0	0	0	1.8653994591565601	0	1.8653994591565601	0	0	0	0	0	0	0	0
cell_718	11 years	1.4798143617369077	0	2.0521038124125344	0	0	0	0	1.4798143617369077	0	0	0	0	0	0
cell_719	11 years	2.024232991870697	0	0	0	0	0	0	0	1.4551558179276332	0	0	0	0	0
cell_720	11 years	0	0	0	0	0	1.7564028667822562	0	0	0	1.7564028667822562	0	0	0	0
cell_721	11 years	0	0	0	0	0	1.8960158101442326	0	0	0	0	0	0	0	0
cell_722	11 years	0	0	0	0	0	1.4811256322089654	0	0	0	0	0	0	0	0
cell_723	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_724	11 years	1.6873774272295088	0	0	0	0	1.6873774272295088	0	0	0	0	0	0	0	0
cell_725	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cell_726	11 years	0	0	0	0	0	0	0	0	0	0	0	0	0	0
